code,airportname,country,latitude,longitude
"JFK","John F Kennedy Intl","United States",40.639751,-73.778925
"AAL","Aalborg","Denmark",57.092789,9.849164
"CDG","Charles De Gaulle","France",49.012779,2.55
"SYD","Sydney Intl","Australia",-33.946111,151.177222
"LHR","Heathrow","United Kingdom",51.4775,-0.461389
"DUB","Dublin","Ireland",53.421333,-6.270075
"ARN","Arlanda","Sweden",59.651944,17.918611
"SIN","Changi Intl","Singapore",1.350189,103.994433
"AMS","Schiphol","Netherlands",52.308613,4.763889
"SFO","San Francisco Intl","United States",37.618972,-122.374889
